task,method,backend,input_mode,dtype,seq_len,batch_size,n_repeats,latency_ms,latency_ms_std,throughput_sps,throughput_sps_std,cv_latency_pct
sst2,fwsvd,flashsvd,real,bf16,512,32,3,44.15,0.02,724.9,0.4,0.05
sst2,fwsvd,flashsvd,synthetic,bf16,512,32,3,44.57,0.1,718.0,1.6,0.22
sst2,fwsvd,flashsvd15,real,bf16,512,32,3,22.31,0.06,1434.2,4.0,0.27
sst2,fwsvd,flashsvd15,synthetic,bf16,512,32,3,22.56,0.03,1418.5,2.0,0.13
sst2,fwsvd,naive,real,bf16,512,32,3,64.8,0.15,493.8,1.1,0.23
sst2,fwsvd,naive,synthetic,bf16,512,32,3,51.13,0.07,625.8,0.9,0.14
sst2,fwsvd,sdpa,real,bf16,512,32,3,26.34,0.09,1215.0,4.0,0.34
sst2,fwsvd,sdpa,synthetic,bf16,512,32,3,25.35,0.01,1262.1,0.3,0.04
sst2,svd,flashsvd,real,bf16,512,32,3,44.06,0.05,726.3,0.8,0.11
sst2,svd,flashsvd,synthetic,bf16,512,32,3,44.48,0.06,719.4,1.0,0.13
sst2,svd,flashsvd15,real,bf16,512,32,3,22.26,0.04,1437.4,2.4,0.18
sst2,svd,flashsvd15,synthetic,bf16,512,32,3,22.59,0.05,1416.8,3.4,0.22
sst2,svd,naive,real,bf16,512,32,3,64.8,0.16,493.8,1.2,0.25
sst2,svd,naive,synthetic,bf16,512,32,3,51.11,0.0,626.1,0.0,0.0
sst2,svd,sdpa,real,bf16,512,32,3,26.29,0.1,1217.1,4.6,0.38
sst2,svd,sdpa,synthetic,bf16,512,32,3,25.31,0.01,1264.2,0.5,0.04
stsb,adasvd,flashsvd,real,bf16,512,32,3,45.09,0.09,709.6,1.4,0.2
stsb,adasvd,flashsvd,synthetic,bf16,512,32,3,45.22,0.01,707.7,0.1,0.02
stsb,adasvd,flashsvd15,real,bf16,512,32,3,21.41,0.08,1494.4,5.4,0.37
stsb,adasvd,flashsvd15,synthetic,bf16,512,32,3,21.98,0.07,1455.7,4.8,0.32
stsb,adasvd,naive,real,bf16,512,32,3,65.53,0.13,488.3,1.0,0.2
stsb,adasvd,naive,synthetic,bf16,512,32,3,51.8,0.06,617.7,0.8,0.12
stsb,adasvd,sdpa,real,bf16,512,32,3,27.44,0.07,1166.1,2.9,0.26
